iter	Passed	Remaining
0	5	5372
1	9	4753
2	13	4506
3	22	5669
4	26	5254
5	30	5049
6	34	4899
7	36	4525
8	40	4434
9	43	4335
10	47	4259
11	51	4250
12	55	4221
13	59	4199
14	61	4057
15	63	3928
16	68	3950
17	72	3976
18	76	3941
19	80	3960
20	82	3848
21	86	3863
22	91	3875
23	95	3882
24	99	3878
25	101	3818
26	105	3812
27	109	3810
28	114	3830
29	118	3829
30	120	3776
31	124	3773
32	128	3775
33	130	3709
34	134	3716
35	138	3708
36	142	3717
37	146	3716
38	151	3722
39	154	3717
40	158	3710
41	160	3652
42	165	3673
43	169	3675
44	173	3671
45	176	3662
46	181	3673
47	185	3684
48	188	3658
49	192	3653
50	196	3660
51	200	3658
52	202	3624
53	206	3616
54	210	3609
55	216	3645
56	219	3635
57	223	3627
58	225	3600
59	230	3604
60	234	3603
61	238	3609
62	242	3612
63	244	3578
64	248	3577
65	252	3578
66	256	3575
67	261	3581
68	264	3573
69	268	3564
70	272	3560
71	273	3526
72	278	3534
73	282	3533
74	286	3533
75	290	3537
76	295	3536
77	298	3527
78	302	3525
79	306	3521
80	310	3521
81	313	3515
82	317	3512
83	321	3504
84	325	3502
85	329	3496
86	330	3465
87	333	3457
88	335	3430
89	338	3423
90	342	3425
91	346	3422
92	350	3417
93	354	3412
94	358	3413
95	362	3413
96	366	3410
97	370	3407
98	374	3410
99	379	3414
100	382	3407
101	386	3405
102	392	3418
103	396	3414
104	400	3417
105	406	3427
106	410	3422
107	413	3413
108	416	3407
109	421	3407
110	425	3404
111	428	3398
112	432	3392
113	436	3388
114	440	3389
115	444	3389
116	448	3386
117	453	3392
118	458	3391
119	461	3385
120	465	3382
121	469	3377
122	473	3373
123	476	3368
124	479	3354
125	483	3350
126	486	3347
127	490	3342
128	494	3337
129	498	3333
130	501	3329
131	504	3320
132	509	3319
133	512	3314
134	517	3314
135	521	3312
136	525	3310
137	529	3308
138	533	3307
139	537	3303
140	541	3301
141	546	3300
142	548	3288
143	552	3286
144	556	3281
145	560	3279
146	565	3281
147	570	3282
148	574	3282
149	579	3282
150	584	3286
151	588	3285
152	592	3279
153	596	3278
154	603	3291
155	607	3286
156	610	3280
157	614	3277
158	618	3273
159	623	3273
160	627	3267
161	632	3274
162	637	3271
163	640	3266
164	644	3260
165	648	3260
166	653	3260
167	658	3260
168	664	3265
169	668	3264
170	673	3263
171	677	3260
172	682	3262
173	686	3259
174	691	3260
175	695	3256
176	700	3255
177	703	3250
178	707	3246
179	711	3241
180	716	3240
181	719	3235
182	723	3231
183	728	3229
184	732	3225
185	736	3224
186	741	3223
187	746	3224
188	750	3221
189	754	3216
190	758	3210
191	762	3209
192	766	3204
193	769	3198
194	773	3193
195	777	3189
196	780	3180
197	783	3174
198	787	3171
199	791	3166
200	797	3169
201	801	3166
202	804	3159
203	808	3155
204	812	3152
205	816	3148
206	821	3147
207	827	3151
208	830	3144
209	834	3139
210	838	3134
211	842	3132
212	847	3130
213	850	3125
214	854	3119
215	857	3111
216	860	3106
217	864	3100
218	868	3097
219	872	3093
220	876	3089
221	880	3085
222	884	3080
223	889	3080
224	894	3079
225	898	3077
226	902	3072
227	907	3072
228	911	3067
229	914	3063
230	918	3058
231	922	3055
232	926	3049
233	930	3047
234	936	3048
235	941	3048
236	946	3046
237	950	3043
238	955	3041
239	959	3037
240	963	3033
241	967	3030
242	971	3027
243	975	3022
244	979	3017
245	983	3014
246	987	3010
247	991	3006
248	996	3005
249	999	2999
250	1004	2996
251	1009	2995
252	1013	2991
253	1017	2987
254	1022	2986
255	1029	2991
256	1034	2989
257	1038	2986
258	1042	2983
259	1046	2978
260	1050	2974
261	1055	2974
262	1059	2970
263	1064	2966
264	1068	2962
265	1072	2959
266	1076	2956
267	1081	2954
268	1086	2952
269	1090	2949
270	1095	2946
271	1098	2941
272	1103	2937
273	1105	2928
274	1109	2924
275	1113	2921
276	1118	2918
277	1121	2913
278	1126	2909
279	1130	2906
280	1135	2904
281	1139	2900
282	1142	2895
283	1146	2890
284	1150	2887
285	1155	2885
286	1160	2882
287	1164	2879
288	1170	2878
289	1174	2874
290	1179	2873
291	1184	2871
