iter	MultiClass
0	1.452091512
1	1.322714231
2	1.221119011
3	1.142271408
4	1.07292333
5	1.013121135
6	0.9604442424
7	0.9128796309
8	0.8704316761
9	0.8336351401
10	0.8006415371
11	0.7667895342
12	0.7373128322
13	0.7123114119
14	0.6883054124
15	0.6640985308
16	0.6442486275
17	0.6278237758
18	0.6090793166
19	0.5942669117
20	0.5779313677
21	0.5641370488
22	0.550901089
23	0.540039338
24	0.5287281122
25	0.5179142307
26	0.5093559363
27	0.4985554478
28	0.4889610769
29	0.4807949344
30	0.4712635202
31	0.4637533717
32	0.458067054
33	0.4528091027
34	0.4458634799
35	0.4414205113
36	0.4347972131
37	0.4292286918
38	0.4234704294
39	0.4189611153
40	0.4137373802
41	0.4070548649
42	0.4026478198
43	0.3979535706
44	0.3935940072
45	0.389584528
46	0.3845907241
47	0.3822810715
48	0.3781362451
49	0.3739445434
50	0.3674468741
51	0.3628982386
52	0.3598339365
53	0.3554602831
54	0.3514786086
55	0.3488476065
56	0.3462460123
57	0.3433302634
58	0.3398967933
59	0.3380168275
60	0.3348623391
61	0.3317034331
62	0.3293580924
63	0.3275364168
64	0.3265822019
65	0.3246414427
66	0.3231922967
67	0.3210344068
68	0.3179494532
69	0.3167135732
70	0.3144129272
71	0.3119023176
72	0.3104666184
73	0.3078015102
74	0.3050644504
75	0.3025851456
76	0.2995307176
77	0.2975570714
78	0.2956611576
79	0.2934902259
80	0.2904765593
81	0.2889234579
82	0.2872377049
83	0.2857409666
84	0.2841898246
85	0.2824970062
86	0.2801440512
87	0.2785812785
88	0.2770226669
89	0.2752763445
90	0.2736328085
91	0.2726815041
92	0.2711480655
93	0.2689016826
94	0.2668817402
95	0.2654752614
96	0.2643842001
97	0.2629548185
98	0.260920015
99	0.2585011503
100	0.2564057891
101	0.2553701932
102	0.2544727745
103	0.2521226629
104	0.2498387678
105	0.2490117762
106	0.2472812228
107	0.244899252
108	0.2436000465
109	0.2411627062
110	0.2399058468
111	0.2377076977
112	0.2361026077
113	0.2347796077
114	0.2329161936
115	0.2321111493
116	0.2296392671
117	0.2278915136
118	0.2258623686
119	0.2251205683
120	0.2238268121
121	0.2229875049
122	0.2215799792
123	0.2203403956
124	0.2186405077
125	0.2173272086
126	0.21694683
127	0.2163133524
128	0.2145487338
129	0.2134224808
130	0.2113738283
131	0.2095089801
132	0.2086108812
133	0.2077655264
134	0.205974931
135	0.2048668222
136	0.2032535997
137	0.2027660767
138	0.2017430038
139	0.2003302159
140	0.1997400131
141	0.1983935904
142	0.1973312826
143	0.1968114592
144	0.19566323
145	0.1952350885
146	0.1934058435
147	0.1920842548
148	0.191007366
149	0.1903944309
150	0.1896620879
151	0.189101725
152	0.1883233661
153	0.1873996132
154	0.1864594762
155	0.1854751607
156	0.1852943473
157	0.1837398137
158	0.1819691554
159	0.1809315054
160	0.1801692107
161	0.1790473651
162	0.1784215594
163	0.177529988
164	0.1763613385
165	0.1758781115
166	0.1749823471
167	0.1741598737
168	0.1735193685
169	0.1727650011
170	0.1719091564
171	0.1707161354
172	0.1699987167
173	0.1689096047
174	0.1674484499
175	0.1665390759
176	0.1663961981
177	0.1652426874
178	0.1642376785
179	0.1634762581
180	0.16276167
181	0.1617344394
182	0.1611247662
183	0.1604025752
184	0.1601730705
185	0.159285649
186	0.158329547
187	0.1574799848
188	0.1567829367
189	0.156302244
190	0.1549502543
191	0.1541526829
192	0.1532424436
193	0.1529690239
194	0.1525730055
195	0.1519418151
196	0.1517144468
197	0.1511706341
198	0.1502823669
199	0.1498610789
200	0.1487387263
201	0.1482476482
202	0.1475945179
203	0.1466685725
204	0.1461918304
205	0.1454428525
206	0.1449548442
207	0.144256153
208	0.1434622163
209	0.1428279892
210	0.1422763662
211	0.1416679132
212	0.1410884985
213	0.1404171069
214	0.1398715461
215	0.139589794
216	0.1389719114
217	0.1385823405
218	0.1380813348
219	0.1371364223
220	0.1365294537
221	0.1361988579
222	0.1352519344
223	0.1351189298
224	0.1345315061
225	0.1339248604
226	0.1336803724
227	0.1330597846
228	0.1325220576
229	0.132344755
230	0.131757875
231	0.1311996008
232	0.130742599
233	0.1300484185
234	0.1297078739
235	0.1290849372
236	0.1285732727
237	0.1279238044
238	0.1272803464
239	0.1266409876
240	0.1260223728
241	0.1258660604
242	0.1252136544
243	0.1248928658
244	0.1244013288
245	0.1239803037
246	0.1236927534
247	0.1233064753
248	0.1231154051
249	0.1228207836
250	0.1225734048
251	0.122023651
252	0.1212261982
253	0.120765546
254	0.1199272269
255	0.1197103801
256	0.1194356748
257	0.1189826712
258	0.118439345
259	0.1181500838
260	0.1178312423
261	0.1174373344
262	0.1169120617
263	0.1164740613
264	0.1162965141
265	0.1158788315
266	0.1155835335
267	0.1151047449
268	0.1144761538
269	0.1139428607
270	0.1133157505
271	0.1128918251
272	0.1125909769
273	0.1120231276
274	0.1115618942
275	0.1112760568
276	0.1110458392
277	0.1105690821
278	0.1101944763
279	0.1093209859
280	0.1089934223
281	0.1086338203
282	0.1082811423
283	0.1080246814
284	0.1076223291
285	0.1073682957
286	0.1070395521
287	0.1065525512
288	0.1060210379
289	0.10562308
290	0.1054346778
291	0.1051024927
292	0.1048615607
293	0.1046977967
294	0.1044039818
295	0.1041654125
296	0.1037505452
297	0.1034449064
298	0.1032040368
299	0.1028182707
300	0.1026178112
301	0.1020464477
302	0.1018907969
303	0.1014913066
304	0.1012311691
305	0.1005932304
306	0.1004484928
307	0.09986777684
308	0.09961872644
309	0.09945626294
310	0.09925281544
311	0.09912369295
312	0.09883775816
313	0.09849828257
314	0.09812262922
315	0.09773949138
316	0.09735521444
317	0.09680092439
318	0.09664836709
319	0.09629098646
320	0.09594709719
321	0.09571718414
322	0.09528297871
323	0.09508348124
324	0.09487533555
325	0.09461861953
326	0.09421394948
327	0.09380157789
328	0.09351322982
329	0.09334383702
330	0.09290167652
331	0.09265552893
332	0.09248299119
333	0.09202151785
334	0.09181650075
335	0.09171482352
336	0.09145702648
337	0.09124964539
338	0.09080484419
339	0.0905730581
340	0.09025353185
341	0.08985627725
342	0.08949537638
343	0.08932368733
344	0.08885821826
345	0.08854423349
346	0.08829458131
347	0.08801412647
348	0.08764679376
349	0.08718668366
350	0.0870265892
351	0.08671109901
352	0.08643132787
353	0.08616772523
354	0.08582760078
355	0.08566654816
356	0.08549298565
357	0.08532856873
358	0.08496663503
359	0.08464424548
360	0.08447960076
361	0.08428278317
362	0.08412118553
363	0.08356650849
364	0.08342381382
365	0.08325854066
366	0.0830590915
367	0.08272136791
368	0.08252986074
369	0.08220245605
370	0.08184825396
371	0.08154302363
372	0.08147963078
373	0.08130919028
374	0.08112547445
375	0.08084531804
376	0.08059859975
377	0.08034704845
378	0.08017278349
379	0.07989645223
380	0.07958199263
381	0.07938172325
382	0.07908207084
383	0.07885689124
384	0.07866701592
385	0.07852034066
386	0.0780758271
387	0.07779656663
388	0.07765438907
389	0.07738071968
390	0.07721014574
391	0.07696439596
392	0.0768311705
393	0.07638493886
394	0.07610503676
395	0.07591916288
396	0.07571782973
397	0.07558917334
398	0.07510403078
399	0.07467738552
400	0.07433972038
401	0.07410144632
402	0.07402441686
403	0.07396383841
404	0.07390294973
405	0.07379780092
406	0.07356285929
407	0.07339087676
408	0.07322708915
409	0.0731260174
410	0.07291334937
411	0.07274901513
412	0.07266937319
413	0.07241924293
414	0.0723107738
415	0.07218945259
416	0.07201025535
417	0.07189980397
418	0.07171484452
419	0.07145276292
420	0.07123440832
421	0.07117777777
422	0.07098130751
423	0.07084783878
424	0.07068365537
425	0.07049177199
426	0.07032036569
427	0.07009342772
428	0.06993456474
429	0.06973145202
430	0.06951622047
431	0.06931311815
432	0.06906725917
433	0.06874522569
434	0.06855119235
435	0.0684320735
436	0.06837078155
437	0.06831498066
438	0.06823095607
439	0.06798381834
440	0.06783127781
441	0.06773485049
442	0.06766022797
443	0.06755248075
444	0.06730515411
445	0.06707146396
446	0.06685715523
